target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0,0,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,1,1,mismatched_bracket,23,missing_comma,FALSE
500,0,2,2,mismatched_quotation,2,mismatched_quotation,TRUE
500,0,3,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,4,2,mismatched_quotation,2,mismatched_quotation,TRUE
500,0,5,7,mismatched_quotation,46,missing_colon,FALSE
500,0,6,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,7,1,missing_parenthesis,1,missing_parenthesis,TRUE
500,0,8,1,missing_parenthesis,1,missing_parenthesis,TRUE
500,0,9,1,missing_parenthesis,1,missing_parenthesis,TRUE
500,0,10,4,mismatched_bracket,4,mismatched_bracket,TRUE
500,0,11,5,mismatched_quotation,5,mismatched_quotation,TRUE
500,0,12,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,13,2,missing_comma,2,missing_comma,TRUE
500,0,14,1,mismatched_bracket,1,mismatched_bracket,TRUE
500,0,15,1,missing_colon,1,missing_colon,TRUE
500,0,16,5,missing_comma,5,missing_comma,TRUE
500,0,17,1,mismatched_bracket,1,missing_bracket,FALSE
500,0,18,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,19,2,missing_parenthesis,2,missing_parenthesis,TRUE
500,0,20,1,mismatched_bracket,1,missing_quotation,FALSE
500,0,21,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,22,1,missing_parenthesis,1,missing_parenthesis,TRUE
500,0,23,4,mismatched_quotation,4,missing_quotation,FALSE
500,0,24,1,keywords_as_identifier,8,keywords_as_identifier,FALSE
500,0.25,0,17,missing_parenthesis,17,missing_parenthesis,TRUE
500,0.25,1,16,missing_colon,16,missing_colon,TRUE
500,0.25,2,13,missing_quotation,13,missing_quotation,TRUE
500,0.25,3,10,keywords_as_identifier,10,keywords_as_identifier,TRUE
500,0.25,4,16,missing_colon,16,missing_colon,TRUE
500,0.25,5,14,missing_parenthesis,14,missing_parenthesis,TRUE
500,0.25,6,10,missing_parenthesis,10,missing_parenthesis,TRUE
500,0.25,7,6,missing_parenthesis,6,missing_parenthesis,TRUE
500,0.25,8,11,missing_comma,11,missing_comma,TRUE
500,0.25,9,18,missing_comma,18,missing_comma,TRUE
500,0.25,10,13,missing_quotation,13,missing_quotation,TRUE
500,0.25,11,14,mismatched_bracket,29,missing_parenthesis,FALSE
