target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,1,1,keywords_as_identifier,56,mismatched_quotation,False
500,0.0,2,1,missing_parenthesis,1,missing_colon,False
500,0.0,3,2,missing_comma,2,missing_comma,True
500,0.0,4,1,mismatched_quotation,1,missing_quotation,False
500,0.0,5,1,keywords_as_identifier,60,missing_parenthesis,False
500,0.0,6,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,7,4,keywords_as_identifier,62,missing_comma,False
500,0.0,8,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,9,1,missing_comma,1,missing_comma,True
500,0.0,10,1,missing_comma,1,missing_comma,True
500,0.0,11,3,mismatched_quotation,3,missing_quotation,False
500,0.0,12,4,missing_colon,4,missing_colon,True
500,0.0,13,5,mismatched_quotation,6,mismatched_quotation,False
500,0.0,14,2,mismatched_quotation,2,missing_quotation,False
500,0.0,15,1,missing_comma,1,missing_comma,True
500,0.0,16,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,17,9,mismatched_quotation,9,missing_quotation,False
500,0.0,18,1,keywords_as_identifier,33,missing_quotation,False
500,0.0,19,1,missing_colon,1,missing_colon,True
500,0.0,20,2,keywords_as_identifier,3,keywords_as_identifier,False
500,0.0,21,1,mismatched_bracket,1,missing_parenthesis,False
500,0.0,22,1,missing_parenthesis,1,missing_colon,False
500,0.0,23,2,missing_comma,2,missing_comma,True
500,0.0,24,1,keywords_as_identifier,6,missing_comma,False
500,0.25,0,18,mismatched_quotation,18,mismatched_quotation,True
500,0.25,1,16,mismatched_bracket,16,missing_colon,False
500,0.25,2,16,keywords_as_identifier,48,missing_parenthesis,False
500,0.25,3,14,missing_parenthesis,14,missing_parenthesis,True
500,0.25,4,14,mismatched_quotation,14,mismatched_quotation,True
500,0.25,5,15,mismatched_bracket,15,missing_comma,False
500,0.25,6,16,mismatched_bracket,16,mismatched_bracket,True
500,0.25,7,16,mismatched_quotation,16,missing_quotation,False
500,0.25,8,17,missing_parenthesis,17,missing_parenthesis,True
500,0.25,9,15,missing_colon,15,missing_parenthesis,False
500,0.25,10,12,mismatched_bracket,12,mismatched_bracket,True
500,0.25,11,13,missing_parenthesis,13,missing_parenthesis,True
500,0.25,12,18,missing_comma,18,missing_comma,True
500,0.25,13,13,missing_parenthesis,13,missing_parenthesis,True
500,0.25,14,18,missing_colon,18,missing_colon,True
500,0.25,15,17,missing_colon,17,missing_colon,True
500,0.25,16,9,missing_parenthesis,9,missing_parenthesis,True
500,0.25,17,13,missing_colon,13,missing_colon,True
500,0.25,18,15,missing_parenthesis,15,missing_parenthesis,True
500,0.25,19,11,mismatched_quotation,11,mismatched_quotation,True
500,0.25,20,13,missing_comma,13,missing_comma,True
500,0.25,21,20,missing_quotation,20,missing_quotation,True
500,0.25,22,12,missing_quotation,12,missing_quotation,True
500,0.25,23,8,missing_colon,8,missing_colon,True
500,0.25,24,16,missing_comma,16,missing_comma,True
500,0.5,0,34,keywords_as_identifier,41,missing_comma,False
500,0.5,1,29,missing_colon,39,missing_colon,False
500,0.5,2,31,mismatched_bracket,31,missing_colon,False
500,0.5,3,32,missing_quotation,32,missing_quotation,True
500,0.5,4,31,keywords_as_identifier,61,missing_colon,False
500,0.5,5,31,missing_comma,31,missing_comma,True
500,0.5,6,21,keywords_as_identifier,21,keywords_as_identifier,True
500,0.5,7,38,mismatched_bracket,38,missing_comma,False
500,0.5,8,31,missing_quotation,31,missing_quotation,True
500,0.5,9,35,missing_quotation,35,missing_quotation,True
500,0.5,10,29,keywords_as_identifier,39,missing_quotation,False
500,0.5,11,34,missing_colon,34,missing_colon,True
500,0.5,12,30,missing_comma,30,missing_comma,True
500,0.5,13,30,missing_colon,30,missing_colon,True
500,0.5,14,32,missing_comma,32,missing_comma,True
500,0.5,15,26,mismatched_bracket,26,mismatched_bracket,True
500,0.5,16,28,missing_quotation,28,missing_quotation,True
500,0.5,17,32,missing_comma,33,missing_comma,False
500,0.5,18,34,missing_comma,34,missing_comma,True
500,0.5,19,35,missing_colon,35,missing_colon,True
500,0.5,20,26,keywords_as_identifier,26,keywords_as_identifier,True
500,0.5,21,32,mismatched_quotation,32,mismatched_quotation,True
500,0.5,22,34,missing_colon,34,missing_colon,True
500,0.5,23,36,keywords_as_identifier,36,keywords_as_identifier,True
500,0.5,24,31,mismatched_bracket,31,mismatched_bracket,True
500,0.75,0,52,missing_parenthesis,52,missing_parenthesis,True
500,0.75,1,49,missing_colon,49,missing_colon,True
500,0.75,2,45,mismatched_quotation,45,mismatched_quotation,True
500,0.75,3,43,missing_parenthesis,43,missing_parenthesis,True
500,0.75,4,53,missing_quotation,53,missing_quotation,True
500,0.75,5,47,missing_quotation,47,missing_quotation,True
500,0.75,6,45,missing_quotation,45,missing_quotation,True
500,0.75,7,51,mismatched_bracket,51,mismatched_bracket,True
500,0.75,8,55,missing_comma,55,,False
500,0.75,9,46,missing_parenthesis,64,missing_comma,False
500,0.75,10,56,missing_quotation,56,missing_quotation,True
500,0.75,11,50,missing_comma,50,missing_comma,True
500,0.75,12,47,missing_quotation,47,mismatched_quotation,False
500,0.75,13,60,missing_parenthesis,60,missing_parenthesis,True
500,0.75,14,41,missing_parenthesis,41,missing_colon,False
500,0.75,15,49,missing_comma,57,missing_comma,False
500,0.75,16,54,keywords_as_identifier,44,missing_comma,False
500,0.75,17,43,missing_colon,43,missing_colon,True
500,0.75,18,51,missing_parenthesis,55,keywords_as_identifier,False
500,0.75,19,55,missing_comma,55,missing_comma,True
500,0.75,20,51,missing_comma,51,missing_comma,True
500,0.75,21,50,mismatched_bracket,50,missing_colon,False
500,0.75,22,50,mismatched_quotation,50,mismatched_quotation,True
500,0.75,23,50,mismatched_bracket,50,missing_parenthesis,False
500,0.75,24,46,missing_colon,46,missing_colon,True
500,1.0,0,73,missing_comma,73,missing_comma,True
500,1.0,1,62,keywords_as_identifier,65,keywords_as_identifier,False
500,1.0,2,64,missing_comma,64,missing_comma,True
500,1.0,3,72,missing_colon,72,missing_colon,True
500,1.0,4,71,mismatched_bracket,71,mismatched_quotation,False
500,1.0,5,60,missing_comma,60,missing_comma,True
500,1.0,6,57,missing_quotation,57,mismatched_quotation,False
500,1.0,7,70,missing_quotation,70,missing_quotation,True
500,1.0,8,66,mismatched_bracket,67,missing_colon,False
500,1.0,9,64,keywords_as_identifier,64,keywords_as_identifier,True
500,1.0,10,62,missing_parenthesis,63,missing_parenthesis,False
500,1.0,11,73,mismatched_quotation,73,missing_quotation,False
500,1.0,12,63,mismatched_bracket,63,missing_quotation,False
500,1.0,13,61,mismatched_bracket,61,missing_parenthesis,False
500,1.0,14,61,mismatched_quotation,62,missing_quotation,False
500,1.0,15,60,missing_colon,60,missing_colon,True
500,1.0,16,59,missing_colon,59,missing_colon,True
500,1.0,17,65,mismatched_bracket,65,missing_colon,False
500,1.0,18,64,missing_colon,64,missing_colon,True
500,1.0,19,65,mismatched_bracket,65,missing_parenthesis,False
500,1.0,20,67,mismatched_quotation,67,mismatched_quotation,True
500,1.0,21,63,missing_colon,63,missing_colon,True
500,1.0,22,79,mismatched_quotation,79,mismatched_quotation,True
