target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,mismatched_bracket,1,missing_colon,False
500,0.0,1,3,missing_colon,3,missing_colon,True
500,0.0,2,1,keywords_as_identifier,17,missing_parenthesis,False
500,0.0,3,1,mismatched_quotation,1,missing_quotation,False
500,0.0,4,3,mismatched_bracket,3,missing_parenthesis,False
500,0.0,5,4,keywords_as_identifier,4,keywords_as_identifier,True
500,0.0,6,2,mismatched_quotation,2,missing_quotation,False
500,0.0,7,5,missing_comma,5,missing_colon,False
500,0.0,8,1,missing_quotation,27,missing_parenthesis,False
500,0.0,9,7,missing_quotation,7,missing_colon,False
500,0.0,10,1,keywords_as_identifier,1,missing_colon,False
500,0.0,11,1,missing_colon,1,missing_colon,True
500,0.0,12,4,missing_quotation,4,missing_parenthesis,False
500,0.0,13,1,keywords_as_identifier,4,missing_colon,False
500,0.0,14,1,mismatched_bracket,1,missing_colon,False
500,0.0,15,1,mismatched_quotation,27,missing_colon,False
500,0.0,16,9,mismatched_quotation,17,missing_colon,False
500,0.0,17,1,missing_comma,1,missing_comma,True
500,0.0,18,2,missing_colon,2,missing_colon,True
500,0.0,19,1,missing_comma,1,missing_colon,False
500,0.0,20,1,keywords_as_identifier,1,missing_parenthesis,False
500,0.0,21,2,missing_comma,26,missing_colon,False
500,0.0,22,3,missing_parenthesis,61,missing_parenthesis,False
500,0.0,23,1,missing_parenthesis,1,missing_colon,False
500,0.0,24,3,missing_parenthesis,3,missing_parenthesis,True
500,0.25,0,12,missing_colon,12,missing_colon,True
500,0.25,1,17,missing_comma,17,missing_comma,True
500,0.25,2,21,mismatched_quotation,42,missing_colon,False
500,0.25,3,16,missing_colon,16,missing_colon,True
500,0.25,4,20,mismatched_quotation,20,mismatched_quotation,True
500,0.25,5,17,missing_comma,17,missing_comma,True
500,0.25,6,15,mismatched_bracket,15,missing_colon,False
500,0.25,7,20,mismatched_quotation,20,missing_quotation,False
500,0.25,8,9,mismatched_bracket,9,missing_parenthesis,False
500,0.25,9,13,missing_colon,13,missing_colon,True
500,0.25,10,18,mismatched_quotation,18,missing_comma,False
500,0.25,11,19,keywords_as_identifier,4,missing_parenthesis,False
500,0.25,12,17,mismatched_quotation,48,missing_colon,False
500,0.25,13,17,missing_comma,17,missing_parenthesis,False
500,0.25,14,22,mismatched_quotation,19,missing_parenthesis,False
500,0.25,15,20,mismatched_quotation,20,missing_quotation,False
500,0.25,16,15,keywords_as_identifier,22,missing_parenthesis,False
500,0.25,17,17,missing_parenthesis,17,missing_colon,False
500,0.25,18,19,missing_comma,19,missing_comma,True
500,0.25,19,17,keywords_as_identifier,17,missing_colon,False
500,0.25,20,18,missing_quotation,18,missing_parenthesis,False
500,0.25,21,14,missing_colon,14,missing_colon,True
500,0.25,22,14,missing_quotation,14,missing_colon,False
500,0.25,23,15,keywords_as_identifier,15,keywords_as_identifier,True
500,0.25,24,13,mismatched_bracket,13,missing_comma,False
500,0.5,0,24,mismatched_quotation,24,mismatched_quotation,True
500,0.5,1,34,missing_comma,17,missing_colon,False
500,0.5,2,36,missing_comma,10,missing_parenthesis,False
500,0.5,3,33,mismatched_quotation,33,mismatched_quotation,True
500,0.5,4,29,missing_comma,29,missing_parenthesis,False
500,0.5,5,31,keywords_as_identifier,43,missing_colon,False
500,0.5,6,37,missing_quotation,37,missing_quotation,True
500,0.5,7,36,mismatched_quotation,36,mismatched_quotation,True
500,0.5,8,33,mismatched_bracket,33,missing_colon,False
500,0.5,9,38,missing_colon,38,missing_colon,True
500,0.5,10,27,keywords_as_identifier,50,missing_parenthesis,False
500,0.5,11,30,mismatched_quotation,30,missing_quotation,False
500,0.5,12,34,mismatched_quotation,48,missing_colon,False
500,0.5,13,32,mismatched_quotation,32,missing_quotation,False
500,0.5,14,31,missing_comma,31,missing_comma,True
500,0.5,15,34,missing_quotation,34,missing_quotation,True
500,0.5,16,30,missing_parenthesis,30,missing_parenthesis,True
500,0.5,17,38,mismatched_quotation,38,mismatched_quotation,True
500,0.5,18,32,mismatched_bracket,32,missing_parenthesis,False
500,0.5,19,37,missing_colon,37,missing_parenthesis,False
500,0.5,20,38,keywords_as_identifier,38,missing_colon,False
500,0.5,21,29,missing_comma,29,missing_parenthesis,False
500,0.5,22,33,keywords_as_identifier,33,keywords_as_identifier,True
500,0.5,23,38,mismatched_bracket,38,missing_parenthesis,False
500,0.5,24,34,missing_quotation,34,missing_comma,False
500,0.75,0,48,missing_quotation,48,missing_quotation,True
500,0.75,1,43,missing_quotation,53,missing_colon,False
500,0.75,2,49,missing_colon,49,missing_parenthesis,False
500,0.75,3,58,missing_quotation,58,mismatched_quotation,False
500,0.75,4,47,missing_comma,47,missing_comma,True
500,0.75,5,52,keywords_as_identifier,52,keywords_as_identifier,True
500,0.75,6,47,missing_quotation,47,missing_parenthesis,False
500,0.75,7,55,missing_quotation,55,missing_colon,False
500,0.75,8,52,missing_colon,52,missing_colon,True
500,0.75,9,47,mismatched_bracket,47,missing_parenthesis,False
500,0.75,10,50,mismatched_bracket,50,missing_parenthesis,False
500,0.75,11,50,missing_quotation,50,mismatched_parenthesis,False
500,0.75,12,52,missing_quotation,52,missing_quotation,True
500,0.75,13,47,missing_comma,47,missing_comma,True
500,0.75,14,50,mismatched_bracket,50,missing_parenthesis,False
500,0.75,15,46,mismatched_quotation,6,missing_colon,False
500,0.75,16,51,missing_colon,51,missing_colon,True
500,0.75,17,55,missing_quotation,51,missing_colon,False
500,0.75,18,43,keywords_as_identifier,43,keywords_as_identifier,True
500,0.75,19,51,missing_comma,52,missing_comma,False
500,0.75,20,49,keywords_as_identifier,49,keywords_as_identifier,True
500,0.75,21,49,keywords_as_identifier,51,keywords_as_identifier,False
500,0.75,22,55,missing_colon,55,missing_colon,True
500,0.75,23,46,mismatched_quotation,46,missing_quotation,False
500,0.75,24,42,mismatched_quotation,42,missing_colon,False
500,1.0,0,69,missing_parenthesis,69,missing_parenthesis,True
500,1.0,1,68,mismatched_bracket,68,missing_parenthesis,False
500,1.0,2,63,keywords_as_identifier,63,keywords_as_identifier,True
500,1.0,3,67,mismatched_quotation,22,missing_colon,False
500,1.0,4,70,mismatched_quotation,76,missing_colon,False
500,1.0,5,63,missing_parenthesis,63,missing_parenthesis,True
500,1.0,6,60,keywords_as_identifier,32,missing_colon,False
500,1.0,7,67,mismatched_bracket,67,missing_comma,False
500,1.0,8,68,mismatched_quotation,32,missing_colon,False
500,1.0,9,65,missing_quotation,65,mismatched_parenthesis,False
500,1.0,10,61,keywords_as_identifier,61,keywords_as_identifier,True
500,1.0,11,66,keywords_as_identifier,66,keywords_as_identifier,True
500,1.0,12,68,missing_quotation,68,missing_parenthesis,False
