target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,1,2,missing_quotation,2,mismatched_quotation,False
500,0.0,2,1,missing_colon,1,missing_colon,True
500,0.0,3,4,missing_quotation,4,mismatched_quotation,False
500,0.0,4,4,mismatched_quotation,4,mismatched_quotation,True
500,0.0,5,1,missing_colon,1,missing_colon,True
500,0.0,6,4,keywords_as_identifier,4,keywords_as_identifier,True
500,0.0,7,2,missing_colon,2,missing_colon,True
500,0.0,8,3,missing_parenthesis,3,missing_parenthesis,True
500,0.0,9,5,mismatched_quotation,5,mismatched_quotation,True
500,0.0,10,1,mismatched_quotation,1,mismatched_quotation,True
500,0.0,11,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,12,2,missing_quotation,2,mismatched_quotation,False
500,0.0,13,4,missing_quotation,4,mismatched_quotation,False
500,0.0,14,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,15,2,missing_colon,2,missing_colon,True
500,0.0,16,5,mismatched_quotation,5,mismatched_quotation,True
500,0.0,17,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,18,4,mismatched_quotation,4,mismatched_quotation,True
500,0.0,19,2,mismatched_quotation,2,mismatched_quotation,True
500,0.0,20,1,missing_parenthesis,1,missing_parenthesis,True
500,0.0,21,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.0,22,8,mismatched_quotation,8,mismatched_quotation,True
500,0.0,23,4,missing_quotation,4,mismatched_quotation,False
500,0.0,24,3,mismatched_quotation,3,mismatched_quotation,True
500,0.25,0,13,mismatched_quotation,13,mismatched_quotation,True
500,0.25,1,10,missing_comma,10,missing_comma,True
500,0.25,2,11,keywords_as_identifier,11,keywords_as_identifier,True
500,0.25,3,12,keywords_as_identifier,12,keywords_as_identifier,True
500,0.25,4,14,keywords_as_identifier,14,keywords_as_identifier,True
500,0.25,5,16,missing_parenthesis,16,missing_parenthesis,True
500,0.25,6,15,keywords_as_identifier,15,keywords_as_identifier,True
500,0.25,7,14,mismatched_quotation,14,mismatched_quotation,True
500,0.25,8,8,missing_parenthesis,8,missing_parenthesis,True
500,0.25,9,9,keywords_as_identifier,9,keywords_as_identifier,True
500,0.25,10,10,keywords_as_identifier,10,keywords_as_identifier,True
500,0.25,11,14,missing_parenthesis,14,missing_parenthesis,True
500,0.25,12,11,missing_colon,11,missing_colon,True
