target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,2,missing_comma,5,missing_parenthesis,False
500,0.0,1,1,missing_colon,5,missing_parenthesis,False
500,0.0,2,1,missing_parenthesis,7,missing_colon,False
500,0.0,3,3,missing_parenthesis,6,mismatched_parenthesis,False
500,0.0,4,1,keywords_as_identifier,1,missing_colon,False
500,0.0,5,1,missing_colon,5,missing_parenthesis,False
500,0.0,6,1,missing_colon,5,missing_parenthesis,False
500,0.0,7,1,missing_parenthesis,9,missing_parenthesis,False
500,0.0,8,3,missing_colon,1,missing_colon,False
500,0.0,9,4,mismatched_quotation,8,mismatched_bracket,False
500,0.0,10,2,missing_quotation,8,mismatched_bracket,False
500,0.0,11,1,missing_parenthesis,4,missing_parenthesis,False
500,0.0,12,2,missing_quotation,8,mismatched_parenthesis,False
500,0.0,13,2,keywords_as_identifier,12,missing_parenthesis,False
500,0.0,14,1,mismatched_bracket,7,missing_comma,False
500,0.0,15,1,mismatched_bracket,6,missing_parenthesis,False
500,0.0,16,5,mismatched_bracket,7,missing_colon,False
500,0.0,17,1,mismatched_bracket,8,mismatched_bracket,False
500,0.0,18,1,mismatched_bracket,12,mismatched_bracket,False
500,0.0,19,2,missing_parenthesis,13,missing_colon,False
500,0.0,20,1,keywords_as_identifier,7,mismatched_bracket,False
500,0.0,21,1,missing_colon,4,missing_parenthesis,False
500,0.0,22,4,missing_comma,21,missing_comma,False
500,0.0,23,2,missing_comma,6,mismatched_quotation,False
500,0.0,24,2,missing_comma,8,missing_comma,False
500,0.25,0,19,missing_parenthesis,25,missing_comma,False
500,0.25,1,15,missing_parenthesis,1,missing_colon,False
500,0.25,2,15,missing_quotation,4,missing_parenthesis,False
500,0.25,3,16,missing_quotation,9,missing_parenthesis,False
500,0.25,4,17,missing_colon,5,missing_parenthesis,False
500,0.25,5,10,missing_comma,21,keywords_as_identifier,False
500,0.25,6,14,mismatched_quotation,9,mismatched_quotation,False
500,0.25,7,19,mismatched_bracket,5,missing_parenthesis,False
500,0.25,8,13,missing_colon,17,keywords_as_identifier,False
500,0.25,9,18,keywords_as_identifier,4,missing_parenthesis,False
500,0.25,10,15,missing_parenthesis,23,missing_colon,False
500,0.25,11,16,missing_colon,7,missing_colon,False
500,0.25,12,15,missing_comma,7,mismatched_quotation,False
500,0.25,13,15,missing_parenthesis,1,missing_colon,False
500,0.25,14,13,missing_comma,5,missing_parenthesis,False
500,0.25,15,16,mismatched_bracket,11,missing_comma,False
500,0.25,16,13,mismatched_quotation,7,missing_colon,False
500,0.25,17,13,missing_parenthesis,6,missing_parenthesis,False
500,0.25,18,15,missing_colon,23,missing_comma,False
500,0.25,19,15,missing_colon,4,missing_parenthesis,False
500,0.25,20,21,missing_quotation,9,missing_parenthesis,False
500,0.25,21,16,mismatched_quotation,4,missing_parenthesis,False
500,0.25,22,14,missing_parenthesis,19,missing_colon,False
500,0.25,23,16,mismatched_quotation,1,missing_parenthesis,False
500,0.25,24,16,mismatched_bracket,9,missing_parenthesis,False
500,0.5,0,32,missing_comma,13,missing_comma,False
500,0.5,1,23,keywords_as_identifier,8,missing_parenthesis,False
500,0.5,2,31,mismatched_bracket,4,missing_parenthesis,False
500,0.5,3,36,missing_comma,3,missing_colon,False
500,0.5,4,34,mismatched_quotation,4,missing_parenthesis,False
