target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,missing_colon,13,zero_division_error,False
500,0.0,1,1,missing_colon,26,missing_colon,False
500,0.0,2,1,keywords_as_identifier,20,keyword_as_identifier,False
500,0.0,3,1,mismatched_bracket,9,keywords_as_identifier,False
500,0.0,4,2,missing_quotation,7,missing_quotation,False
500,0.0,5,2,mismatched_quotation,4,missing_comma,False
500,0.0,6,4,mismatched_bracket,16,missing_parenthesis,False
500,0.0,7,5,missing_quotation,11,mismatched_bracket,False
500,0.0,8,1,missing_parenthesis,11,missing_colon,False
500,0.0,9,1,missing_colon,23,missing_comma,False
500,0.0,10,1,keywords_as_identifier,23,missing_comma,False
500,0.0,11,3,missing_parenthesis,1,missing_parenthesis,False
500,0.0,12,3,missing_quotation,23,mismatched_bracket,False
500,0.0,13,5,missing_parenthesis,6,missing_parenthesis,False
500,0.0,14,2,missing_colon,22,missing_comma,False
500,0.0,15,6,mismatched_quotation,7,missing_quotation,False
500,0.0,16,2,missing_colon,1,missing_colon,False
500,0.0,17,6,missing_quotation,23,missing_colon,False
500,0.0,18,3,mismatched_quotation,16,missing_colon,False
500,0.0,19,5,missing_comma,7,missing_parenthesis,False
500,0.0,20,4,missing_quotation,7,missing_parenthesis,False
500,0.0,21,1,keywords_as_identifier,12,missing_quotation,False
500,0.0,22,4,keywords_as_identifier,8,missing_comma,False
500,0.0,23,3,missing_colon,19,missing_parenthesis,False
500,0.0,24,5,mismatched_bracket,10,mismatched_quotation,False
500,0.25,0,14,mismatched_quotation,13,missing_quotation,False
500,0.25,1,19,keywords_as_identifier,17,missing_comma,False
500,0.25,2,13,mismatched_bracket,15,missing_colon,False
500,0.25,3,15,missing_comma,12,keyword_as_identifier,False
500,0.25,4,13,missing_parenthesis,17,mismatched_bracket,False
500,0.25,5,20,mismatched_quotation,7,missing_colon,False
500,0.25,6,13,missing_comma,12,missing_comma,False
500,0.25,7,15,mismatched_bracket,26,missing_comma,False
500,0.25,8,15,missing_parenthesis,14,missing_parenthesis,False
500,0.25,9,18,missing_comma,20,missing_parenthesis,False
500,0.25,10,14,mismatched_quotation,8,mismatched_quotation,False
500,0.25,11,16,missing_parenthesis,17,missing_colon,False
500,0.25,12,13,missing_parenthesis,48,keywords_as_identifier,False
500,0.25,13,9,missing_parenthesis,15,missing_parenthesis,False
500,0.25,14,15,missing_quotation,1,mismatched_bracket,False
500,0.25,15,18,keywords_as_identifier,1,missing_parenthesis,False
500,0.25,16,16,missing_parenthesis,10,missing_parenthesis,False
500,0.25,17,12,keywords_as_identifier,12,missing_quotation,False
500,0.25,18,9,mismatched_quotation,5,missing_quotation,False
500,0.25,19,11,missing_colon,9,missing_colon,False
