target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,2,missing_comma,2,missing_colon,FALSE
500,0.0,1,3,missing_colon,3,missing_colon,TRUE
500,0.0,2,3,keywords_as_identifier,3,keywords_as_identifier,TRUE
500,0.0,3,1,mismatched_bracket,1,missing_colon,FALSE
500,0.0,4,4,mismatched_quotation,4,missing_quotation,FALSE
500,0.0,5,3,missing_parenthesis,3,missing_parenthesis,TRUE
500,0.0,6,1,mismatched_quotation,2,missing_quotation,FALSE
500,0.0,7,7,missing_quotation,7,mismatched_quotation,FALSE
500,0.0,8,4,mismatched_quotation,31,missing_comma,FALSE
500,0.0,9,2,mismatched_quotation,3,missing_quotation,FALSE
500,0.0,10,3,mismatched_quotation,45,missing_parenthesis,FALSE
500,0.0,11,2,missing_parenthesis,2,missing_colon,FALSE
500,0.0,12,6,missing_quotation,6,missing_quotation,TRUE
500,0.0,13,1,missing_colon,1,missing_colon,TRUE
500,0.0,14,1,missing_parenthesis,1,missing_parenthesis,TRUE
500,0.0,15,1,missing_colon,1,missing_colon,TRUE
500,0.0,16,1,missing_parenthesis,1,missing_colon,FALSE
500,0.0,17,1,missing_parenthesis,1,missing_colon,FALSE
500,0.0,18,4,missing_colon,4,missing_colon,TRUE
500,0.0,19,4,missing_parenthesis,39,missing_colon,FALSE
500,0.0,20,1,missing_comma,2,missing_comma,FALSE
500,0.0,21,4,missing_parenthesis,4,missing_parenthesis,TRUE
500,0.0,22,1,missing_colon,1,missing_colon,TRUE
500,0.0,23,2,missing_quotation,2,missing_comma,FALSE
500,0.0,24,1,mismatched_bracket,34,missing_comma,FALSE
500,0.25,0,12,missing_parenthesis,12,missing_colon,FALSE
500,0.25,1,5,missing_comma,5,missing_comma,TRUE
500,0.25,2,15,mismatched_bracket,15,missing_parenthesis,FALSE
500,0.25,3,13,missing_colon,13,missing_colon,TRUE
500,0.25,4,13,missing_parenthesis,13,missing_colon,FALSE
500,0.25,5,11,mismatched_bracket,11,missing_bracket,FALSE
500,0.25,6,10,missing_colon,10,missing_colon,TRUE
500,0.25,7,12,keywords_as_identifier,12,keywords_as_identifier,TRUE
500,0.25,8,14,mismatched_quotation,13,mismatched_quotation,FALSE
500,0.25,9,14,missing_comma,14,missing_comma,TRUE
500,0.25,10,11,missing_quotation,11,missing_parenthesis,FALSE
500,0.25,11,13,missing_comma,32,missing_parenthesis,FALSE
500,0.25,12,13,mismatched_bracket,13,missing_parenthesis,FALSE
500,0.25,13,19,missing_colon,19,missing_colon,TRUE
500,0.25,14,9,mismatched_quotation,9,mismatched_quotation,TRUE
500,0.25,15,16,missing_quotation,16,mismatched_bracket,FALSE
500,0.25,16,8,keywords_as_identifier,8,keywords_as_identifier,TRUE
500,0.25,17,12,mismatched_bracket,12,missing_colon,FALSE
500,0.25,18,6,missing_comma,6,missing_parenthesis,FALSE
500,0.25,19,9,mismatched_bracket,9,missing_bracket,FALSE
500,0.25,20,18,missing_quotation,46,missing_comma,FALSE
500,0.25,21,16,missing_comma,16,missing_comma,TRUE
500,0.25,22,17,missing_quotation,17,missing_parenthesis,FALSE
500,0.25,23,18,mismatched_quotation,18,missing_comma,FALSE
500,0.25,24,14,missing_quotation,14,missing_comma,FALSE
500,0.5,0,23,missing_colon,23,missing_colon,TRUE
500,0.5,1,30,keywords_as_identifier,30,keywords_as_identifier,TRUE
500,0.5,2,21,missing_colon,21,missing_colon,TRUE
500,0.5,3,27,missing_comma,27,missing_colon,FALSE
500,0.5,4,23,keywords_as_identifier,27,keywords_as_identifier,FALSE
500,0.5,5,22,keywords_as_identifier,22,missing_colon,FALSE
500,0.5,6,25,keywords_as_identifier,25,keywords_as_identifier,TRUE
500,0.5,7,26,missing_parenthesis,26,missing_parenthesis,TRUE
500,0.5,8,23,missing_parenthesis,23,missing_parenthesis,TRUE
500,0.5,9,24,missing_comma,23,missing_colon,FALSE
500,0.5,10,33,missing_quotation,28,missing_colon,FALSE
500,0.5,11,29,missing_comma,29,mismatched_quotation,FALSE
500,0.5,12,25,missing_colon,25,missing_colon,TRUE
500,0.5,13,26,keywords_as_identifier,26,keywords_as_identifier,TRUE
500,0.5,14,24,missing_colon,24,missing_colon,TRUE
500,0.5,15,24,mismatched_bracket,24,missing_bracket,FALSE
500,0.5,16,24,missing_parenthesis,24,missing_colon,FALSE
500,0.5,17,27,mismatched_quotation,27,mismatched_quotation,TRUE
500,0.5,18,32,missing_quotation,32,missing_comma,FALSE
500,0.5,19,26,mismatched_bracket,26,missing_bracket,FALSE
500,0.5,20,30,keywords_as_identifier,30,keywords_as_identifier,TRUE
500,0.5,21,27,mismatched_bracket,27,missing_bracket,FALSE
500,0.5,22,22,missing_comma,22,missing_colon,FALSE
500,0.5,23,21,mismatched_bracket,21,missing_comma,FALSE
500,0.5,24,25,keywords_as_identifier,28,missing_parenthesis,FALSE
500,0.75,0,38,missing_comma,38,missing_comma,TRUE
500,0.75,1,37,mismatched_quotation,37,missing_quotation,FALSE
500,0.75,2,39,mismatched_bracket,39,missing_bracket,FALSE
500,0.75,3,42,missing_quotation,34,keywords_as_identifier,FALSE
