target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0.0,0,1,keywords_as_identifier,1,keywords_as_identifier,True
500,0.25,0,14,missing_quotation,14,missing_quotation,True
500,0.5,0,32,missing_comma,32,missing_comma,True
500,0.75,0,53,missing_quotation,53,mismatched_quotation,False
500,1.0,0,68,mismatched_bracket,68,missing_colon,False
1000,0.0,0,2,missing_colon,2,missing_colon,True
1000,0.25,0,37,missing_colon,127,keywords_as_identifier,False
1000,0.5,0,69,missing_comma,69,missing_comma,True
1000,0.75,0,100,missing_colon,100,missing_colon,True
1000,1.0,0,119,missing_colon,119,missing_colon,True
2000,0.0,0,1,missing_colon,32,missing_parenthesis,False
2000,0.25,0,71,missing_parenthesis,71,missing_colon,False
2000,0.5,0,127,missing_colon,127,missing_colon,True
2000,0.75,0,189,missing_comma,5,keywords_as_identifier,False
2000,1.0,0,252,missing_colon,252,missing_colon,True
4000,0.0,0,1,keywords_as_identifier,167,keywords_as_identifier,False
4000,0.25,0,129,missing_comma,129,missing_parenthesis,False
4000,0.5,0,265,missing_colon,240,missing_parenthesis,False
4000,0.75,0,392,missing_colon,392,missing_colon,True
4000,1.0,0,518,missing_quotation,518,mismatched_quotation,False
8000,0.0,0,1,mismatched_quotation,41,missing_parenthesis,False
8000,0.25,0,256,mismatched_bracket,256,missing_colon,False
8000,0.5,0,554,missing_quotation,554,mismatched_quotation,False
8000,0.75,0,794,mismatched_bracket,794,missing_colon,False
8000,1.0,0,1017,keywords_as_identifier,1021,keywords_as_identifier,False
15500,0.0,0,6,mismatched_quotation,1847,missing_parenthesis,False
15500,0.25,0,500,missing_quotation,1877,mismatched_bracket,False
15500,0.5,0,1029,missing_parenthesis,1703,missing_parenthesis,False
15500,0.75,0,1468,keywords_as_identifier,1468,keywords_as_identifier,True
15500,1.0,0,1899,missing_parenthesis,1899,missing_parenthesis,True
