target_length,target_depth,iter_no,bug_line_number,bug_type,pred_bug_line_number,pred_bug_type,result
500,0,0,7,missing_comma,7,missing_comma,TRUE
500,0,1,4,mismatched_quotation,4,missing_comma,FALSE
500,0,2,1,missing_quotation,49,missing_less_than_operator,FALSE
500,0,3,2,missing_comma,2,keywords_as_identifier,FALSE
500,0,4,9,missing_comma,9,missing_comma,TRUE
500,0,5,2,missing_quotation,2,missing_quotation,TRUE
500,0,6,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,7,4,missing_quotation,4,missing_colon,FALSE
500,0,8,1,keywords_as_identifier,6,mismatched_quotation,FALSE
500,0,9,4,keywords_as_identifier,4,keywords_as_identifier,TRUE
500,0,10,1,keywords_as_identifier,1,keywords_as_identifier,TRUE
500,0,11,1,missing_colon,1,missing_parenthesis,FALSE
500,0,12,2,missing_colon,2,missing_colon,TRUE
500,0,13,1,mismatched_bracket,1,mismatched_bracket,TRUE
500,0,14,7,missing_parenthesis,7,missing_parenthesis,TRUE
500,0,15,1,mismatched_quotation,2,missing_quotation,FALSE
500,0,16,5,mismatched_quotation,44,missing_bracket,FALSE
500,0,17,4,missing_quotation,4,missing_comma,FALSE
500,0,18,1,missing_comma,1,missing_parenthesis,FALSE
500,0,19,1,mismatched_bracket,1,missing_bracket,FALSE
500,0,20,1,missing_comma,1,missing_parenthesis,FALSE
500,0,21,1,missing_parenthesis,1,missing_parenthesis,TRUE
500,0,22,1,mismatched_bracket,1,missing_parenthesis,FALSE
500,0,23,5,mismatched_quotation,5,mismatched_quotation,TRUE
500,0,24,1,missing_comma,1,missing_parenthesis,FALSE
500,0.25,0,14,mismatched_bracket,14,missing_bracket,FALSE
500,0.25,1,19,missing_colon,19,missing_parenthesis,FALSE
500,0.25,2,15,mismatched_bracket,15,missing_bracket,FALSE
500,0.25,3,9,missing_comma,9,missing_comma,TRUE
500,0.25,4,17,missing_quotation,17,mismatched_quotation,FALSE
500,0.25,5,8,missing_quotation,8,missing_quotation,TRUE
500,0.25,6,21,missing_parenthesis,21,missing_parenthesis,TRUE
500,0.25,7,20,mismatched_quotation,20,mismatched_quotation,TRUE
500,0.25,8,13,missing_parenthesis,13,missing_parenthesis,TRUE
500,0.25,9,17,mismatched_quotation,17,mismatched_quotation,TRUE
500,0.25,10,16,missing_comma,16,missing_comma,TRUE
500,0.25,11,14,mismatched_quotation,14,mismatched_quotation,TRUE
500,0.25,12,14,missing_quotation,14,missing_quotation,TRUE
500,0.25,13,14,missing_parenthesis,14,missing_parenthesis,TRUE
500,0.25,14,14,missing_colon,14,missing_colon,TRUE
500,0.25,15,16,keywords_as_identifier,16,keywords_as_identifier,TRUE
500,0.25,16,16,keywords_as_identifier,16,keywords_as_identifier,TRUE
500,0.25,17,12,mismatched_quotation,12,mismatched_quotation,TRUE
500,0.25,18,11,keywords_as_identifier,11,keywords_as_identifier,TRUE
500,0.25,19,16,missing_comma,16,missing_parenthesis,FALSE
500,0.25,20,15,keywords_as_identifier,17,undefined_variable,FALSE
500,0.25,21,11,keywords_as_identifier,57,undefined_variable,FALSE
500,0.25,22,25,missing_parenthesis,25,missing_quotation,FALSE
500,0.25,23,9,missing_colon,9,missing_colon,TRUE
500,0.25,24,23,missing_quotation,23,missing_quotation,TRUE
500,0.5,0,29,missing_comma,29,missing_parenthesis,FALSE
500,0.5,1,32,mismatched_quotation,32,mismatched_quotation,TRUE
500,0.5,2,35,missing_colon,35,missing_colon,TRUE
500,0.5,3,37,mismatched_quotation,37,mismatched_quotation,TRUE
500,0.5,4,36,missing_quotation,36,missing_quotation,TRUE
500,0.5,5,27,missing_colon,27,missing_parenthesis,FALSE
500,0.5,6,36,mismatched_quotation,36,mismatched_quotation,TRUE
500,0.5,7,35,missing_quotation,35,mismatched_quotation,FALSE
500,0.5,8,29,mismatched_bracket,29,missing_parenthesis,FALSE
500,0.5,9,33,missing_parenthesis,33,missing_parenthesis,TRUE
500,0.5,10,28,missing_parenthesis,28,missing_parenthesis,TRUE
500,0.5,11,35,missing_quotation,53,missing_quotation,FALSE
500,0.5,12,32,mismatched_bracket,32,missing_bracket,FALSE
500,0.5,13,28,keywords_as_identifier,28,keywords_as_identifier,TRUE
500,0.5,14,32,missing_comma,32,missing_parenthesis,FALSE
500,0.5,15,29,missing_colon,29,missing_colon,TRUE
500,0.5,16,39,mismatched_bracket,39,mismatched_bracket,TRUE
500,0.5,17,35,keywords_as_identifier,35,keywords_as_identifier,TRUE
500,0.5,18,33,missing_parenthesis,33,mismatched_quotation,FALSE
500,0.5,19,37,mismatched_bracket,25,undefined_variable,FALSE
500,0.5,20,35,missing_colon,35,missing_parenthesis,FALSE
500,0.5,21,34,mismatched_quotation,34,mismatched_quotation,TRUE
500,0.5,22,29,missing_comma,29,missing_parenthesis,FALSE
500,0.5,23,34,missing_comma,34,missing_parenthesis,FALSE
500,0.5,24,30,mismatched_quotation,30,mismatched_quotation,TRUE
500,0.75,0,54,mismatched_bracket,54,missing_parenthesis,FALSE
500,0.75,1,49,missing_parenthesis,49,missing_parenthesis,TRUE
500,0.75,2,55,missing_colon,55,missing_parenthesis,FALSE
500,0.75,3,48,mismatched_bracket,48,mismatched_bracket,TRUE
500,0.75,4,49,missing_quotation,41,undefined_variable,FALSE
500,0.75,5,52,mismatched_quotation,52,mismatched_quotation,TRUE
500,0.75,6,51,missing_quotation,51,missing_quotation,TRUE
500,0.75,7,50,missing_colon,50,missing_parenthesis,FALSE
500,0.75,8,46,missing_parenthesis,38,mismatched_bracket,FALSE
500,0.75,9,46,missing_comma,46,missing_comma,TRUE
500,0.75,10,47,missing_parenthesis,47,missing_parenthesis,TRUE
500,0.75,11,48,missing_parenthesis,48,missing_colon,FALSE
500,0.75,12,45,missing_parenthesis,45,missing_parenthesis,TRUE
500,0.75,13,50,keywords_as_identifier,50,keywords_as_identifier,TRUE
500,0.75,14,48,missing_comma,48,keyword_as_identifier,FALSE
500,0.75,15,50,missing_colon,50,missing_colon,TRUE
500,0.75,16,52,missing_comma,52,missing_comma,TRUE
500,0.75,17,46,keywords_as_identifier,46,keywords_as_identifier,TRUE
500,0.75,18,51,mismatched_quotation,43,missing_comma,FALSE
500,0.75,19,53,missing_parenthesis,53,missing_parenthesis,TRUE
500,0.75,20,52,keywords_as_identifier,52,keywords_as_identifier,TRUE
500,0.75,21,54,mismatched_bracket,54,mismatched_bracket,TRUE
500,0.75,22,50,mismatched_bracket,50,mismatched_bracket,TRUE
500,0.75,23,46,missing_colon,46,missing_parenthesis,FALSE
500,0.75,24,53,missing_comma,53,missing_parenthesis,FALSE
500,1,0,72,mismatched_quotation,72,mismatched_quotation,TRUE
500,1,1,64,missing_colon,64,missing_colon,TRUE
500,1,2,69,mismatched_bracket,69,mismatched_bracket,TRUE
500,1,3,68,missing_comma,68,missing_comma,TRUE
500,1,4,66,mismatched_bracket,66,mismatched_bracket,TRUE
500,1,5,67,mismatched_quotation,67,mismatched_quotation,TRUE
500,1,6,63,missing_comma,63,missing_comma,TRUE
500,1,7,74,missing_quotation,74,mismatched_quotation,FALSE
500,1,8,61,missing_comma,61,missing_parenthesis,FALSE
500,1,9,68,missing_colon,68,missing_colon,TRUE
500,1,10,66,missing_quotation,66,missing_quotation,TRUE
500,1,11,64,missing_quotation,64,missing_quotation,TRUE
500,1,12,69,missing_comma,69,missing_comma,TRUE
500,1,13,66,missing_quotation,66,missing_quotation,TRUE
500,1,14,60,missing_colon,60,missing_colon,TRUE
500,1,15,66,missing_comma,12,mismatched_bracket,FALSE
500,1,16,59,missing_parenthesis,59,missing_parenthesis,TRUE
